mmgene	type	alias
"Aaed1"	"old symbol"	"Prxl2c"
"Aars"	"old symbol"	"Aars1"
"Acpp"	"old symbol"	"Acp3"
"Adprhl2"	"old symbol"	"Adprs"
"Adra1a"	"synonym"	"Adra1d"
"Adss"	"old symbol"	"Adss2"
"Adssl1"	"old symbol"	"Adss1"
"Aes"	"old symbol"	"Tle5"
"Akr1b3"	"old symbol"	"Akr1b1"
"Als2cr12"	"old symbol"	"Flacc1"
"Amd1"	"synonym"	"Artmd1"
"Ankrd36"	"old symbol"	"Ankrd48"
"Apitd1"	"old symbol"	"Cenps"
"Apoo"	"old symbol"	"Apoo-ps"
"Apopt1"	"old symbol"	"Coa8"
"Arnt"	"synonym"	"D3Umi11"
"Arntl"	"old symbol"	"Bmal1"
"Arntl2"	"old symbol"	"Bmal2"
"Asna1"	"old symbol"	"Get3"
"Atp5a1"	"old symbol"	"Atp5f1a"
"Atp5b"	"old symbol"	"Atp5f1b"
"Atp5c1"	"old symbol"	"Atp5f1c"
"Atp5d"	"old symbol"	"Atp5f1d"
"Atp5e"	"old symbol"	"Atp5f1e"
"Atp5f1"	"old symbol"	"Atp5pb"
"Atp5g1"	"old symbol"	"Atp5mc1"
"Atp5g2"	"old symbol"	"Atp5mc2"
"Atp5g3"	"old symbol"	"Atp5mc3"
"Atp5h"	"old symbol"	"Atp5pd"
"Atp5j"	"old symbol"	"Atp5pf"
"Atp5j2"	"old symbol"	"Atp5mf"
"Atp5l"	"old symbol"	"Atp5mg"
"Atp5o"	"old symbol"	"Atp5po"
"Atp5s"	"old symbol"	"Dmac2l"
"Atp5sl"	"old symbol"	"Dmac2"
"Atpif1"	"old symbol"	"Atp5if1"
"B3gnt6"	"old symbol"	"B4gat1"
"Bcr"	"related synonym"	"Ighm"
"Bod1"	"old symbol"	"Bodq1"
"Braf"	"old symbol"	"Braf-rs1"
"Btbd11"	"old symbol"	"Abtb3"
"C3"	"synonym"	"Rr231604"
"C77080"	"old symbol"	"Nhsl3"
"Cad"	"old symbol"	"Cgct"
"Cars"	"old symbol"	"Cars1"
"Casc1"	"old symbol"	"Dnai7"
"Casc4"	"old symbol"	"Golm2"
"Cbwd1"	"old symbol"	"Zng1"
"Ccdc114"	"old symbol"	"Odad1"
"Ccdc121"	"old symbol"	"Ccdc121rt1"
"Ccdc129"	"old symbol"	"Itprid1"
"Ccdc130"	"old symbol"	"Yju2b"
"Ccdc144b"	"old symbol"	"Gm57858"
"Ccdc151"	"old symbol"	"Odad3"
"Ccdc155"	"old symbol"	"Kash5"
"Ccdc173"	"old symbol"	"Cfap210"
"Ccdc36"	"old symbol"	"Iho1"
"Ccdc58"	"old symbol"	"Mix23"
"Ccdc84"	"old symbol"	"Cenatac"
"Ccdc94"	"old symbol"	"Yju2"
"Ccr4"	"old symbol"	"Noct"
"Cd163l1"	"old symbol"	"Scart1"
"Cd300c"	"old symbol"	"Cd300c2"
"Cd3eap"	"old symbol"	"Polr1g"
"Chka"	"synonym"	"Atp12a"
"Cklf"	"old symbol"	"Cmtm2a"
"Clca1"	"old symbol"	"Clca3a1"
"Clca2"	"old symbol"	"Clca3a2"
"Cnr1"	"synonym"	"Pcdha4"
"Cnr2"	"synonym"	"Pcdha6"
"Col4a3bp"	"old symbol"	"Cert1"
"Cr2"	"synonym"	"Defa2"
"Ctage5"	"old symbol"	"Mia2"
"Ctgf"	"old symbol"	"Ccn2"
"Ctps"	"old symbol"	"Ctps1"
"Cyhr1"	"old symbol"	"Zftraf1"
"Cyr61"	"old symbol"	"Ccn1"
"Dars"	"old symbol"	"Dars1"
"Dbp"	"synonym"	"Gc"
"Dcp2"	"old symbol"	"Dxcp2"
"Ddx58"	"old symbol"	"Rigi"
"Dfna5"	"old symbol"	"Gsdme"
"Dfnb59"	"old symbol"	"Pjvk"
"Dgcr14"	"old symbol"	"Ess2"
"Diexf"	"old symbol"	"Utp25"
"Dirc2"	"old symbol"	"Slc49a4"
"Disp1"	"synonym"	"Prss30"
"Dmc1"	"synonym"	"Dbmc1"
"Dmd"	"synonym"	"Rr27"
"Dopey1"	"old symbol"	"Dop1a"
"Dopey2"	"old symbol"	"Dop1b"
"Dr1"	"synonym"	"Tg(HLA-DRA*0101,HLA-DRB1*0101)1Dmz"
"Dscr3"	"old symbol"	"Vps26c"
"Dsp"	"synonym"	"Dspp"
"Dusp13"	"old symbol"	"Dusp13b"
"Dusp27"	"old symbol"	"Styxl2"
"Dyx1c1"	"old symbol"	"Dnaaf4"
"Ecm1"	"synonym"	"D3Umi25"
"Efcab1"	"old symbol"	"Clxn"
"Elmsan1"	"old symbol"	"Mideas"
"En1"	"synonym"	"Rr273"
"Eprs"	"old symbol"	"Eprs1"
"F3"	"synonym"	"Or1x2"
"Fam102a"	"old symbol"	"Eeig1"
"Fam102b"	"old symbol"	"Eeig2"
"Fam103a1"	"old symbol"	"Ramac"
"Fam104a"	"old symbol"	"Vcf1"
"Fam105a"	"old symbol"	"Otulinl"
"Fam109a"	"old symbol"	"Pheta1"
"Fam109b"	"old symbol"	"Pheta2"
"Fam122a"	"old symbol"	"Pabir1"
"Fam122b"	"old symbol"	"Pabir2"
"Fam122c"	"old symbol"	"Pabir3"
"Fam126a"	"old symbol"	"Hycc1"
"Fam126b"	"old symbol"	"Hycc2"
"Fam129a"	"old symbol"	"Niban1"
"Fam129b"	"old symbol"	"Niban2"
"Fam129c"	"old symbol"	"Niban3"
"Fam155a"	"old symbol"	"Nalf1"
"Fam159a"	"old symbol"	"Shisal2a"
