"","mmgene","type","alias"
"718","Ttc37","old symbol","Skic3"
"721","Twistnb","old symbol","Polr1f"
"722","Uba52","synonym","Ubg"
"723","Ube2cbp","old symbol","Ube3d"
"724","Ucn2","old symbol","Uts2"
"725","Ugt3a1","old symbol","Ugt3a2"
"726","Uhrf1bp1","old symbol","Bltp3a"
"727","Uhrf1bp1l","old symbol","Bltp3b"
"728","Usmg5","old symbol","Atp5mk"
"731","Vars","old symbol","Vars1"
"733","Vprbp","old symbol","Dcaf1"
"734","Vpreb2","old symbol","Vpreb1b"
"735","Vps45","synonym","D3Umi26"
"736","Wars","old symbol","Wars1"
"738","Wbscr17","old symbol","Galnt17"
"739","Wbscr22","old symbol","Bud23"
"741","Wdr34","old symbol","Dync2i2"
"742","Wdr60","old symbol","Dync2i1"
"743","Wdr61","old symbol","Skic8"
"744","Wdr63","old symbol","Dnai3"
"745","Wdr66","old symbol","Cfap251"
"746","Wdr78","old symbol","Dnai4"
"747","Wdr92","old symbol","Dnaaf10"
"748","Wdyhv1","old symbol","Ntaq1"
"749","Wisp3","old symbol","Ccn6"
"750","Wrb","old symbol","Get1"
"751","Yars","old symbol","Yars1"
"752","Zadh2","old symbol","Ptgr3"
"754","Zcchc11","old symbol","Tut4"
"755","Zcchc6","old symbol","Tut7"
"759","Zfp651","old symbol","Zbtb47"
"760","Zfp69","synonym","Zfp84"
"761","Zfp74","synonym","Zfp72"
"762","Zfp78","synonym","Zfp81"
"763","Znrd1","old symbol","Polr1h"
"764","Zrsr1","old symbol","Zrsr2-ps1"
"765","Zufsp","old symbol","Zup1"
